"","Method","Mean","Variance","N","Weight","SNR"
"561","FDR0.01",-0.291716693472179,0.71966007013733,1024,"Martin","1"
"562","FER0.01",-0.291716693472179,0.71966007013733,1024,"Martin","1"
"563","FDR0.05",1.13260442618257,1.77577702269328,1024,"Martin","1"
"564","FER0.05",1.13260442618257,1.77577702269328,1024,"Martin","1"
"565","log_Periodogram",1271.04692712831,1160.06084417068,1024,"Martin","1"
"566","BIC",0.113129071501007,0.979872368529254,1024,"Martin","1"
"567","KSF",-0.715663765860797,0.282943780241067,1024,"Martin","1"
"568","MRI",-0.850927136233597,0.0604715010074429,1024,"Martin","1"
"569","Rectangle window",18.9301148197944,0.777480460364356,1024,"Martin","1"
"570","Hann",16.2386255945808,0.604448292513815,1024,"Martin","1"
"571","FDR0.01",-0.223645510772673,0.845665526900261,512,"Martin","1"
"572","FER0.01",-0.223645510772673,0.845665526900261,512,"Martin","1"
"573","FDR0.05",1.31209714167581,1.86016585817296,512,"Martin","1"
"574","FER0.05",1.31209714167581,1.86016585817296,512,"Martin","1"
"575","log_Periodogram",638.215245694248,592.332016028677,512,"Martin","1"
"576","BIC",0.165187898259173,1.0226483513459,512,"Martin","1"
"577","KSF",-0.75761515330628,0.315108117139391,512,"Martin","1"
"578","MRI",-0.867014561177628,0.124162010371592,512,"Martin","1"
"579","Rectangle window",13.2018238155376,0.781382143433946,512,"Martin","1"
"580","Hann",11.2462571025298,0.600836176571657,512,"Martin","1"
"581","FDR0.01",-0.120797463910115,1.06344421946138,256,"Martin","1"
"582","FER0.01",-0.120797463910115,1.06344421946138,256,"Martin","1"
"583","FDR0.05",1.51206874087246,1.93016586225493,256,"Martin","1"
"584","FER0.05",1.51206874087246,1.93016586225493,256,"Martin","1"
"585","log_Periodogram",323.472473453139,307.21097212846,256,"Martin","1"
"586","BIC",0.264731451165456,1.15333293154285,256,"Martin","1"
"587","KSF",-0.643981933634494,0.725639641023611,256,"Martin","1"
"588","MRI",-0.89317131132152,0.25711886601261,256,"Martin","1"
"589","Rectangle window",9.16867868903907,0.759525100304598,256,"Martin","1"
"590","Hann",7.77889964128851,0.565768092789598,256,"Martin","1"
"591","FDR0.01",0.0635604871744866,1.45348869331117,128,"Martin","1"
